Fan_ID,Age,Gender,Last_Attended,Tickets_Purchased,Spend,Favourite_Player,Engagement_Score,Channel_Preference,Membership_Type,Postcode_District
WSL-0069,34,Prefer not to say,2025-01-31,3,167.8,Vivianne Miedema,0.1,Email,Hospitality,L2
WSL-0070,20,Female,2024-10-13,0,97.34,Lauren Hemp,0.93,Email,Lapsed,LS2
WSL-0071,54,Non-binary,2024-09-23,1,122.03,Alessia Russo,0.89,Social,General Admission,EH1
WSL-0072,55,Female,2026-03-26,3,296.88,Beth Mead,0.25,SMS,Member,CF1
WSL-0073,20,Female,2025-12-17,0,82.72,Lauren Hemp,0.49,App,General Admission,L1
WSL-0074,20,Male,2024-06-22,1,183.22,Millie Bright,0.63,Email,Lapsed,E1
WSL-0075,57,Non-binary,2025-12-25,8,653.45,Alessia Russo,0.2,Post,General Admission,L1
WSL-0076,23,Prefer not to say,2025-02-01,2,253.28,Erin Cuthbert,0.52,Email,Lapsed,M2
WSL-0077,72,Female,2025-03-10,2,127.32,Rachel Daly,0.26,Post,Season Ticket,SE1
WSL-0078,46,Prefer not to say,2024-12-11,3,285.88,Vivianne Miedema,0.59,Social,General Admission,LS2
WSL-0079,37,Non-binary,2025-07-02,3,289.15,Millie Bright,0.7,Post,Season Ticket,L1
WSL-0080,21,Female,2025-07-08,8,427.08,Lucy Bronze,0.43,Social,Hospitality,M2
WSL-0081,28,Female,2024-12-12,2,187.18,Lauren Hemp,0.46,App,Lapsed,N2
WSL-0082,34,Male,2025-03-04,3,183.01,Beth Mead,0.62,App,Lapsed,M1
WSL-0083,51,Female,2025-04-04,0,100.97,Beth Mead,0.16,Social,General Admission,BS1
WSL-0084,61,Male,2025-08-20,13,1174.3,Millie Bright,0.28,SMS,Lapsed,BS1
WSL-0085,63,Non-binary,2026-01-07,2,164.66,Sam Kerr,0.44,App,General Admission,EH1
WSL-0086,53,Non-binary,2024-07-20,3,305.04,Lucy Bronze,0.5,Post,Hospitality,L1
WSL-0087,36,Female,2025-11-14,7,444.24,Chloe Kelly,0.77,Social,Hospitality,LS1
WSL-0088,58,Non-binary,2024-07-28,1,57.55,Vivianne Miedema,0.52,Social,Season Ticket,BS1
WSL-0089,45,Prefer not to say,2026-05-11,4,262.69,Rachel Daly,0.19,App,Lapsed,LS1
WSL-0090,57,Non-binary,2026-03-05,10,930.56,Erin Cuthbert,0.4,Post,Season Ticket,G1
WSL-0091,20,Female,2025-09-28,9,942.69,Vivianne Miedema,0.45,Social,Member,EC1
WSL-0092,17,Male,2026-04-09,10,816.0,Lauren Hemp,0.4,Post,Hospitality,EH1
WSL-0093,59,Male,2025-11-23,5,205.79,Erin Cuthbert,0.41,Post,Member,E1
WSL-0094,45,Prefer not to say,2024-08-11,2,180.31,Rachel Daly,0.89,Post,Member,M3
WSL-0095,44,Prefer not to say,2025-06-07,18,778.38,Rachel Daly,0.69,SMS,Hospitality,L2
WSL-0096,22,Non-binary,2025-09-26,12,782.61,Sam Kerr,0.97,Social,General Admission,M1
WSL-0097,52,Non-binary,2024-06-23,0,89.42,Lauren Hemp,0.82,Post,General Admission,E1
WSL-0098,56,Male,2025-11-13,8,632.55,Vivianne Miedema,0.66,Email,General Admission,L1
WSL-0099,18,Prefer not to say,2024-10-10,2,156.39,Beth Mead,0.32,SMS,Member,CF1
WSL-0100,72,Prefer not to say,2025-05-17,2,192.69,Rachel Daly,0.82,App,Season Ticket,L1
WSL-0101,20,Non-binary,2026-01-02,7,670.65,Vivianne Miedema,0.96,Social,Season Ticket,W1
WSL-0102,50,Prefer not to say,2026-01-20,14,686.18,Chloe Kelly,0.29,Email,Member,L2
WSL-0103,17,Prefer not to say,2024-08-30,2,202.5,Rachel Daly,0.11,Social,Season Ticket,N2
WSL-0104,18,Male,2026-04-18,9,865.89,Millie Bright,0.27,Social,General Admission,CF1
WSL-0105,42,Prefer not to say,2024-10-02,1,164.08,Rachel Daly,0.83,Email,General Admission,SW1
WSL-0106,44,Non-binary,2025-02-25,1,94.92,Sam Kerr,0.69,Social,General Admission,SW1
WSL-0107,23,Female,2025-02-15,0,77.0,Sam Kerr,0.61,App,Member,N2
WSL-0108,66,Male,2024-10-25,1,109.51,Lauren Hemp,0.24,App,Member,G1
WSL-0109,16,Female,2025-08-16,4,440.68,Sam Kerr,0.79,SMS,Season Ticket,B2
WSL-0110,66,Prefer not to say,2025-09-25,18,720.62,Lucy Bronze,0.1,Email,Season Ticket,L2
WSL-0111,44,Non-binary,2025-05-21,0,26.59,Erin Cuthbert,0.62,Email,Season Ticket,L2
WSL-0112,70,Female,2025-04-10,3,265.67,Vivianne Miedema,0.9,App,Lapsed,N2
WSL-0113,20,Prefer not to say,2026-01-17,8,580.79,Alessia Russo,0.71,Post,General Admission,L1
WSL-0114,48,Male,2024-09-14,3,144.91,Millie Bright,0.84,Social,Member,LS2
WSL-0115,37,Non-binary,2025-02-16,3,150.99,Chloe Kelly,0.45,SMS,Hospitality,M3
WSL-0116,21,Male,2026-02-28,2,185.04,Lucy Bronze,0.4,Email,Lapsed,CF1
WSL-0117,51,Prefer not to say,2025-06-23,3,243.12,Sam Kerr,0.93,App,Lapsed,EC1
WSL-0118,38,Female,2026-02-09,18,992.64,Chloe Kelly,0.5,Post,General Admission,N1
WSL-0119,64,Female,2025-08-14,18,605.38,Alessia Russo,0.57,App,Season Ticket,SE1
WSL-0120,33,Male,2024-06-06,2,219.1,Alessia Russo,0.22,Social,Season Ticket,N2
WSL-0121,63,Prefer not to say,2024-08-16,0,63.66,Chloe Kelly,0.4,SMS,General Admission,EC1
WSL-0122,62,Female,2025-06-28,18,1212.76,Vivianne Miedema,0.19,App,Hospitality,LS2
WSL-0123,47,Non-binary,2024-09-12,3,165.0,Millie Bright,0.53,Email,General Admission,EH1
WSL-0124,47,Female,2024-12-03,2,78.97,Lauren Hemp,0.61,App,Member,N2
WSL-0125,64,Male,2025-09-07,9,354.03,Beth Mead,0.74,Social,Lapsed,E1
WSL-0126,48,Female,2024-10-31,2,139.38,Erin Cuthbert,0.09,Email,General Admission,EH1
WSL-0127,43,Female,2024-10-16,3,262.79,Chloe Kelly,0.16,SMS,Lapsed,L1
WSL-0128,69,Prefer not to say,2024-06-19,2,139.97,Lucy Bronze,0.28,Email,Hospitality,EC1
WSL-0129,63,Female,2025-06-13,7,297.69,Lucy Bronze,0.52,Post,Member,B2
WSL-0130,38,Male,2024-08-04,1,49.18,Vivianne Miedema,0.23,SMS,Hospitality,L1
WSL-0131,64,Non-binary,2024-10-26,3,311.45,Chloe Kelly,0.65,SMS,Hospitality,M3
WSL-0132,46,Female,2025-02-28,2,227.16,Rachel Daly,0.38,Social,Hospitality,M2
WSL-0133,19,Prefer not to say,2025-05-14,2,140.45,Erin Cuthbert,0.85,Post,Lapsed,M2
WSL-0134,44,Female,2024-10-18,1,95.76,Erin Cuthbert,0.19,Email,General Admission,M3
WSL-0135,48,Male,2024-08-03,1,100.16,Chloe Kelly,0.97,App,General Admission,LS1
WSL-0136,42,Female,2025-06-14,1,155.18,Lucy Bronze,0.11,Social,General Admission,W1
WSL-0137,62,Non-binary,2024-07-23,1,109.6,Rachel Daly,0.18,Social,Member,G1
WSL-0138,61,Male,2026-03-01,9,602.73,Lucy Bronze,0.36,Email,Hospitality,BS1
WSL-0139,39,Prefer not to say,2026-05-08,11,528.14,Lauren Hemp,0.37,SMS,Member,N2
WSL-0140,20,Female,2025-07-28,3,227.19,Chloe Kelly,0.74,Post,Member,G1
WSL-0141,40,Male,2025-12-20,5,218.19,Erin Cuthbert,0.63,Email,Hospitality,B2
WSL-0142,59,Male,2025-09-25,14,967.8,Lucy Bronze,0.78,SMS,General Admission,L2
WSL-0143,69,Non-binary,2025-11-09,11,819.74,Millie Bright,0.46,Post,Lapsed,LS2
WSL-0144,26,Non-binary,2025-11-03,4,344.1,Lucy Bronze,0.5,Email,Lapsed,N1
WSL-0145,34,Prefer not to say,2026-03-02,5,281.85,Vivianne Miedema,0.19,SMS,Hospitality,B2
WSL-0146,17,Female,2025-03-28,0,44.88,Chloe Kelly,0.41,SMS,Season Ticket,B1
WSL-0147,22,Prefer not to say,2024-07-30,2,171.88,Beth Mead,0.32,Social,Hospitality,G1
WSL-0148,16,Prefer not to say,2026-03-06,0,100.2,Vivianne Miedema,0.56,App,Member,EC1
WSL-0149,23,Female,2026-04-08,7,423.19,Erin Cuthbert,0.48,Post,Lapsed,M1
WSL-0150,56,Non-binary,2024-12-15,1,106.59,Lauren Hemp,0.05,Post,Hospitality,SE1
WSL-0151,58,Female,2024-07-11,0,43.27,Millie Bright,0.94,Social,Season Ticket,LS1
WSL-0152,39,Female,2025-09-09,0,8.11,Alessia Russo,0.27,App,Member,M2
WSL-0153,38,Prefer not to say,2024-11-13,2,180.05,Erin Cuthbert,0.77,SMS,Member,M3
WSL-0154,61,Female,2025-02-12,0,5.26,Chloe Kelly,0.24,App,Lapsed,LS1
WSL-0155,68,Non-binary,2024-11-16,3,189.47,Sam Kerr,0.23,App,General Admission,N1
WSL-0156,67,Prefer not to say,2025-05-15,3,346.68,Chloe Kelly,0.88,SMS,Hospitality,L2
WSL-0157,39,Male,2024-12-11,2,244.24,Lucy Bronze,0.12,App,General Admission,N1
WSL-0158,21,Prefer not to say,2025-06-25,9,409.27,Chloe Kelly,0.45,Social,Season Ticket,B2
WSL-0159,55,Prefer not to say,2025-03-07,2,225.13,Chloe Kelly,0.1,Post,Member,M1
WSL-0160,25,Non-binary,2024-09-11,3,52.73,Chloe Kelly,0.77,Social,Lapsed,M2
WSL-0161,54,Male,2025-12-20,14,1315.17,Lucy Bronze,0.76,App,Hospitality,B1
WSL-0162,57,Prefer not to say,2025-08-14,7,645.17,Lucy Bronze,0.22,Email,General Admission,W1
WSL-0163,61,Prefer not to say,2025-02-24,1,128.97,Lauren Hemp,0.9,Email,Member,M3
WSL-0164,44,Non-binary,2025-12-01,14,1424.08,Chloe Kelly,0.95,Email,Lapsed,CF1
WSL-0165,34,Non-binary,2025-07-23,5,466.68,Lucy Bronze,0.64,SMS,Season Ticket,SW1
WSL-0166,66,Non-binary,2026-01-04,7,546.36,Erin Cuthbert,0.57,Post,Member,G1
WSL-0167,72,Prefer not to say,2026-02-27,2,195.29,Millie Bright,0.72,Post,Season Ticket,N2
WSL-0168,36,Male,2024-08-07,0,81.61,Beth Mead,0.37,Social,Lapsed,M2
WSL-0169,69,Male,2026-01-19,16,414.96,Chloe Kelly,0.35,Post,General Admission,M3
WSL-0170,32,Female,2025-11-06,17,666.25,Lucy Bronze,0.62,SMS,Lapsed,EH1
WSL-0171,25,Female,2025-12-02,10,886.93,Vivianne Miedema,0.82,Email,Lapsed,W1
WSL-0172,57,Non-binary,2025-10-23,18,915.06,Rachel Daly,0.51,Social,Member,LS1
WSL-0173,35,Prefer not to say,2025-02-16,0,18.97,Lauren Hemp,0.44,App,Lapsed,N2
WSL-0174,36,Female,2025-07-04,11,1038.21,Chloe Kelly,0.39,SMS,Hospitality,N1
WSL-0175,33,Prefer not to say,2025-02-20,1,29.77,Lauren Hemp,0.93,SMS,General Admission,EH1
WSL-0176,62,Prefer not to say,2025-07-10,6,511.83,Rachel Daly,0.53,Social,Season Ticket,M3
WSL-0177,41,Female,2024-12-25,3,302.52,Rachel Daly,0.38,Social,Lapsed,L2
WSL-0178,34,Non-binary,2024-11-23,0,51.71,Millie Bright,0.87,App,Season Ticket,LS1
WSL-0179,19,Prefer not to say,2024-10-20,1,76.72,Lucy Bronze,0.41,App,Lapsed,G1
WSL-0180,23,Non-binary,2026-01-15,3,229.47,Beth Mead,0.37,SMS,Lapsed,BS1
WSL-0181,41,Prefer not to say,2024-12-30,0,16.44,Lucy Bronze,0.36,Social,Member,G1
WSL-0182,48,Non-binary,2026-01-03,10,931.26,Alessia Russo,0.42,App,Lapsed,BS1
WSL-0183,50,Female,2025-01-10,2,104.83,Millie Bright,0.36,Post,General Admission,M1
WSL-0184,54,Male,2025-01-26,2,278.48,Sam Kerr,0.77,Post,Hospitality,SE1
WSL-0185,49,Female,2024-08-20,3,154.48,Lauren Hemp,0.08,Email,Hospitality,B1
WSL-0186,42,Prefer not to say,2025-12-22,13,950.3,Sam Kerr,0.77,SMS,Lapsed,SW1
WSL-0187,51,Non-binary,2025-06-28,15,871.87,Lucy Bronze,0.21,App,General Admission,G1
WSL-0188,46,Non-binary,2025-11-11,7,281.92,Rachel Daly,0.93,SMS,Hospitality,B1
WSL-0189,46,Female,2025-06-03,17,1616.9,Alessia Russo,0.3,Post,Hospitality,LS1
WSL-0190,68,Non-binary,2025-06-07,4,178.95,Erin Cuthbert,0.71,App,Hospitality,SW1
WSL-0191,28,Male,2024-11-21,2,262.42,Lauren Hemp,0.18,Email,Lapsed,E1
WSL-0192,56,Male,2025-09-30,1,59.95,Sam Kerr,0.49,Post,Member,LS2
WSL-0193,57,Non-binary,2025-01-24,3,288.69,Sam Kerr,0.32,Email,Lapsed,E1
WSL-0194,50,Female,2026-04-18,5,333.93,Millie Bright,0.92,Social,Member,EC1
WSL-0195,72,Non-binary,2026-04-18,0,72.33,Rachel Daly,0.91,Social,Lapsed,BS1
WSL-0196,47,Male,2026-01-09,16,836.67,Erin Cuthbert,0.15,App,Member,M1
WSL-0197,63,Prefer not to say,2025-06-15,9,623.01,Millie Bright,0.21,Post,General Admission,M3
WSL-0198,41,Male,2024-07-10,0,16.87,Sam Kerr,0.35,App,Hospitality,E1
WSL-0199,44,Non-binary,2025-08-26,10,457.36,Lauren Hemp,0.06,Email,Season Ticket,L1
WSL-0200,35,Non-binary,2025-12-14,12,938.1,Vivianne Miedema,0.88,App,General Admission,G1
